"Date","Repo","Reverse Repo"
"08/09/2021","5.474","0"
"07/09/2021","5.474","0"
"06/09/2021","5.472","0"
"03/09/2021","5.474","0"
"02/09/2021","5.47","0"
"01/09/2021","5.472","0"
"31/08/2021","5.453","0"
"30/08/2021","5.453","0"
"27/08/2021","5.422","0"
"25/08/2021","5.419","0"
"24/08/2021","5.417","0"
"23/08/2021","5.429","0"
"20/08/2021","5.407","0"
"18/08/2021","5.391","0"
"17/08/2021","5.395","0"
"13/08/2021","5.329","0"
"12/08/2021","5.276","0"
"10/08/2021","5.338","0"
"09/08/2021","5.375","0"
"06/08/2021","5.332","0"
"04/08/2021","5.381","0"
"03/08/2021","5.438","0"
"02/08/2021","5.459","0"
"30/07/2021","5.457","0"
"28/07/2021","5.454","0"
"27/07/2021","5.415","0"
"26/07/2021","5.338","0"
"23/07/2021","5.305","0"
"22/07/2021","5.109","0"
"21/07/2021","5.314","0"
"19/07/2021","5.32","0"
"16/07/2021","5.317","0"
"15/07/2021","5.264","0"
"14/07/2021","5.315","0"
"13/07/2021","5.276","0"
"12/07/2021","5.302","0"
"09/07/2021","5.301","0"
"08/07/2021","5.339","0"
"07/07/2021","5.307","0"
"06/07/2021","5.343","0"
"05/07/2021","5.214","0"
"02/07/2021","5.232","0"
"01/07/2021","5.217","0"
"30/06/2021","5.202","0"
"29/06/2021","5.316","0"
"28/06/2021","5.301","0"
"25/06/2021","5.141","0"
"18/06/2021","5.306","0"
"17/06/2021","5.359","0"
"16/06/2021","5.332","0"
"15/06/2021","5.288","0"
"14/06/2021","5.227","0"
"11/06/2021","5.16","0"
"11/06/2021","5.16","0"
"10/06/2021","5.33","0"
"09/06/2021","5.405","0"
"08/06/2021","5.67","0"
"08/06/2021","5.502","0"
"04/06/2021","5.645","0"
"03/06/2021","5.519","0"
"02/06/2021","5.572","0"
"31/05/2021","5.628","0"
"28/05/2021","5.775","0"
"27/05/2021","6.057","0"
"26/05/2021","6.051","0"
"24/05/2021","6.113","0"
"21/05/2021","6.708","0"
"20/05/2021","6.711","0"
"19/05/2021","6.736","0"
"18/05/2021","6.514","0"
"17/05/2021","6.18","0"
"11/05/2021","4.164","0"
"07/05/2021","5.502","0"
"06/05/2021","5.98","0"
"05/05/2021","6.219","0"
"03/05/2021","6.445","0"
"30/04/2021","6.529","0"
"28/04/2021","6.74","0"
"27/04/2021","6.744","0"
"26/04/2021","6.667","0"
"22/04/2021","0","8.045"
"21/04/2021","0","7.893"
"19/04/2021","6.977","0"
"15/04/2021","0","7.511"
"13/04/2021","0","7.222"
"12/04/2021","0","7.331"
"07/04/2021","6.201","0"
"06/04/2021","6.392","0"
"30/03/2021","6.407","0"
"29/03/2021","6.45","0"
"26/03/2021","6.528","0"
"22/03/2021","6.38","0"
"19/03/2021","6.28","0"
"18/03/2021","5.945","0"
"17/03/2021","5.946","0"
"15/03/2021","7.779","0"
"12/03/2021","0","7.56"
"08/03/2021","5.851","0"
"05/03/2021","5.912","0"
"04/03/2021","5.932","0"
"03/03/2021","5.934","0"
"02/03/2021","5.95","0"
"01/03/2021","5.991","0"
"26/02/2021","6.022","0"
"24/02/2021","5.925","0"
"22/02/2021","6.094","0"
"19/02/2021","5.85","0"
"18/02/2021","5.917","0"
"17/02/2021","5.953","0"
"16/02/2021","5.929","0"
"15/02/2021","5.947","0"
"09/02/2021","6.002","0"
"04/02/2021","6.226","0"
"02/02/2021","6.43","0"
"01/02/2021","6.306","0"
"28/01/2021","0","8.009"
"26/01/2021","0","7.793"
"22/01/2021","0","7.669"
"20/01/2021","5.806","0"
"19/01/2021","5.513","0"
"18/01/2021","5.272","0"
"15/01/2021","5.023","0"
"12/01/2021","4.943","0"
"11/01/2021","5.84","0"
"08/01/2021","5.49","0"
"07/01/2021","6.188","0"
"06/01/2021","6.505","0"
"05/01/2021","6.649","0"
"04/01/2021","6.82","0"
"31/12/2020","6.749","0"
"30/12/2020","6.816","0"
"28/12/2020","0","7.75"
"24/12/2020","0","7.694"
"23/12/2020","0","7.656"
"17/12/2020","6.563","0"
"16/12/2020","6.507","0"
"15/12/2020","6.75","0"
"14/12/2020","6.989","0"
"10/12/2020","6.964","0"
"10/12/2020","6.964","0"
"09/12/2020","6.997","0"
"08/12/2020","6.99","0"
"07/12/2020","6.989","0"
"04/12/2020","6.987","0"
"03/12/2020","6.982","0"
"02/12/2020","6.999","0"
"01/12/2020","6.995","0"
"30/11/2020","6.977","0"
"27/11/2020","6.968","0"
"26/11/2020","6.85","0"
"25/11/2020","6.941","0"
"24/11/2020","6.874","0"
"23/11/2020","6.955","0"
"19/11/2020","0","6.825"
"18/11/2020","6.723","0"
"17/11/2020","6.654","0"
"16/11/2020","6.539","0"
"12/11/2020","6.445","0"
"10/11/2020","6.369","0"
"09/11/2020","6.432","0"
"06/11/2020","6.446","0"
"05/11/2020","5.986","0"
"04/11/2020","6.441","0"
"03/11/2020","6.371","0"
"02/11/2020","6.492","0"
"30/10/2020","6.523","0"
"29/10/2020","5.777","0"
"28/10/2020","4.495","0"
"27/10/2020","4.244","0"
"26/10/2020","3.957","0"
"21/10/2020","3.163","0"
"19/10/2020","3.377","0"
"16/10/2020","3.287","0"
"12/10/2020","2.654","0"
"09/10/2020","2.967","0"
"02/10/2020","3.214","0"
"28/09/2020","0","7.373"
"24/09/2020","0","7.7"
"23/09/2020","0","7.866"
"22/09/2020","0","7.976"
"21/09/2020","0","7.678"
"17/09/2020","0","7.249"
"15/09/2020","3.179","0"
"14/09/2020","2.948","0"
"11/09/2020","2.42","0"
"08/09/2020","2.858","0"
"07/09/2020","3.211","0"
"04/09/2020","3.462","0"
"02/09/2020","3.703","0"
"01/09/2020","3.693","0"
"31/08/2020","3.743","0"
"28/08/2020","3.423","0"
"25/08/2020","0","7.45"
"24/08/2020","0","7.299"
"20/08/2020","3.317","0"
"19/08/2020","3.117","0"
"17/08/2020","2.778","0"
"14/08/2020","2.694","0"
"13/08/2020","2.933","0"
"12/08/2020","3.413","0"
"10/08/2020","3.724","0"
"07/08/2020","3.95","0"
"06/08/2020","4.401","0"
"04/08/2020","4.456","0"
"03/08/2020","4.735","0"
"30/07/2020","4.924","0"
"28/07/2020","4.91","0"
"27/07/2020","5.033","0"
"24/07/2020","5.098","0"
"23/07/2020","4.942","0"
"22/07/2020","4.741","0"
"21/07/2020","4.446","0"
"20/07/2020","4.021","0"
"17/07/2020","3.508","0"
"15/07/2020","3.022","0"
"14/07/2020","3.001","0"
"13/07/2020","3.001","0"
"10/07/2020","3.034","0"
"09/07/2020","3.116","0"
"08/07/2020","3.12","0"
"07/07/2020","3.182","0"
"06/07/2020","3.272","0"
"03/07/2020","3.235","0"
"02/07/2020","3.251","0"
"01/07/2020","3.268","0"
"30/06/2020","3.382","0"
"29/06/2020","3.533","0"
"26/06/2020","3.682","0"
"24/06/2020","3.565","0"
"23/06/2020","3.441","0"
"22/06/2020","3.359","0"
"19/06/2020","3.271","0"
"18/06/2020","3.186","0"
"17/06/2020","3.093","0"
"15/06/2020","3.059","0"
"12/06/2020","3.12","0"
"11/06/2020","3.253","0"
"10/06/2020","3.395","0"
"09/06/2020","3.66","0"
"09/06/2020","3.66","0"
"08/06/2020","3.889","0"
"05/06/2020","4.064","0"
"04/06/2020","3.995","0"
"03/06/2020","3.92","0"
"02/06/2020","3.996","0"
"29/05/2020","3.975","0"
"28/05/2020","4.293","0"
"27/05/2020","4.966","0"
"26/05/2020","5.239","0"
"22/05/2020","0","7"
"20/05/2020","0","7"
"18/05/2020","0","7"
"15/05/2020","0","7"
"13/05/2020","0","7"
"12/05/2020","0","7"
"08/05/2020","3.311","0"
"04/05/2020","3.721","0"
"30/04/2020","4","0"
"24/04/2020","6.843","0"
"22/04/2020","6","0"
"21/04/2020","6.24","0"
"20/04/2020","6.5","0"
"17/04/2020","6.5","0"
"16/04/2020","7.019","0"
"15/04/2020","6.968","0"
"14/04/2020","6.766","0"
"09/04/2020","6.676","0"
"08/04/2020","6.693","0"
"07/04/2020","6.634","0"
"06/04/2020","6.824","0"
"02/04/2020","5.696","0"
"01/04/2020","6.996","0"
"31/03/2020","7.09","0"
"30/03/2020","7.023","0"
"27/03/2020","7.091","0"
"25/03/2020","7.236","0"
"23/03/2020","8.16","0"
"20/03/2020","7.767","0"
"19/03/2020","7.454","0"
"17/03/2020","6.5","0"
"16/03/2020","6.528","0"
"13/03/2020","4.429","0"
"12/03/2020","4.177","0"
"10/03/2020","4.5","0"
"09/03/2020","5.215","0"
"06/03/2020","5.49","0"
"05/03/2020","6.847","0"
"03/03/2020","6.723","0"
"03/03/2020","6.723","0"
"28/02/2020","4.002","0"
"27/02/2020","4.44","0"
"19/02/2020","4.028","0"
"17/02/2020","3.982","0"
"10/02/2020","4.418","0"
"07/02/2020","3.99","0"
"04/02/2020","6.399","0"
"03/02/2020","5.995","0"
"31/01/2020","5.513","0"
"30/01/2020","4.875","0"
"21/01/2020","5.183","0"
"20/01/2020","5.95","0"
"17/01/2020","6.4","0"
"16/01/2020","4.735","0"
"14/01/2020","4.652","0"
"13/01/2020","4.305","0"
"07/01/2020","5.041","0"
"06/01/2020","5.617","0"
"03/01/2020","6.414","0"
"31/12/2019","7.391","0"
"30/12/2019","7.473","0"
"13/12/2019","6.925","0"
"02/12/2019","8","0"
"28/11/2019","8.178","0"
"27/11/2019","8.114","0"
"26/11/2019","7.943","0"
"25/11/2019","6.247","0"
"20/11/2019","6.38","0"
"19/11/2019","6.837","0"
"18/11/2019","7.801","0"
"15/11/2019","5.746","0"
"14/11/2019","3.527","0"
"12/11/2019","3.98","0"
"11/11/2019","4.678","0"
"09/11/2019","8.026","0"
"08/11/2019","5.948","0"
"07/11/2019","6.48","0"
"06/11/2019","7.028","0"
"05/11/2019","7.134","0"
"04/11/2019","8.451","0"
"01/11/2019","6.1387","0"
"01/11/2019","6.353","0"
"31/10/2019","6.217","0"
"31/10/2019","6.217","0"
"30/10/2019","6.513","0"
"30/10/2019","6.513","0"
"29/10/2019","6.88","0"
"29/10/2019","6.88","0"
"28/10/2019","6.99","0"
"28/10/2019","6.99","0"
"25/10/2019","7.75","0"
"24/10/2019","0","9.02"
"23/10/2019","5.949","0"
"22/10/2019","8.128","0"
"22/10/2019","0","9"
"18/10/2019","7.954","0"
"18/10/2019","0","9.1"
"17/10/2019","0","9"
"16/10/2019","7.981","0"
"16/10/2019","7.981","0"
"16/10/2019","0","9.1"
"15/10/2019","7.385","0"
"14/10/2019","7.355","0"
"11/10/2019","7.499","0"
"09/10/2019","8.026","0"
"08/10/2019","8.205","0"
"07/10/2019","8.553","0"
"04/10/2019","8.878","0"
"03/10/2019","8.855","0"
"02/10/2019","8.713","0"
"01/10/2019","8.993","0"
"30/09/2019","8.981","0"
"26/09/2019","8.976","0"
"25/09/2019","0","7.7"
"24/09/2019","8.988","0"
"23/09/2019","8.98","0"
"17/09/2019","8.963","0"
"16/09/2019","8.971","0"
